"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Channel Islands","CHI","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14000010490417","3.19000005722046","3.00999999046326","3.29999995231628","3.00999999046326","3.02999997138977","2.84999990463257","2.91000008583069","3.09999990463257","2.86999988555908","2.9300000667572","3.05999994277954","2.88000011444092","2.66000008583069","4.65000009536743","4.07999992370605","4.34999990463257","4.34999990463257","4.1100001335144","4.07000017166138","",
"China","CHN","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9300000667572","3.77999997138977","4.80999994277954","4.21999979019165","4.46999979019165","4.6399998664856","4","4.3600001335144","4.36999988555908","4.30999994277954","4.57000017166138","4.36999988555908","5.05999994277954","5.19000005722046","2.86999988555908","4.46000003814697","4.63000011444092","5","5.01999998092651","4.92999982833862","4.90999984741211","4.55000019073486","4.23000001907349","4.15999984741211","",
"Comoros","COM","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.91000008583069","4.86999988555908","4.03999996185303","5.28999996185303","4.90000009536743","4.82999992370605","4.92999982833862","6.69999980926514","6.11999988555908","7.03999996185303","7.3600001335144","7.8899998664856","8.10000038146973","5.71000003814697","7.94999980926514","7.90000009536743","8.59000015258789","8.10999965667725","7.44999980926514","7.69999980926514","7.23000001907349","7.48999977111816","","3.46000003814697","3.82999992370605","3.69000005722046","3.77999997138977","7.19999980926514","3.1800000667572","7.65000009536743",
"Cote d'Ivoire","CIV","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03999996185303","","","","",
"Croatia","HRV","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.09999990463257","4.86999988555908","5.25","5.09000015258789","5.1100001335144","5.03999996185303","5.5","4.98999977111816","4.88000011444092","5.01999998092651","5.07000017166138","5.34000015258789","5.30999994277954","4.90999984741211","4.73000001907349","4.55000019073486","4.51000022888184","4.3899998664856","5.21999979019165","5.1399998664856","",
