"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.26000022888184","6.1100001335144","5.78000020980835","7.15999984741211","9.96000003814697","8.98999977111816","8.26000022888184","8.07999992370605","8.10999965667725","7.23000001907349","6.17000007629395","6.92999982833862","9.57999992370605","10.7299995422363","10.8699998855591","9.72000026702881","8.47000026702881","8.51000022888184","8.35999965667725","7.67999982833862","6.86999988555908","6.28000020980835","6.73999977111816","6.36999988555908","5.92999982833862","5.3899998664856","5.03000020980835","4.78000020980835","4.38000011444092","4.23000001907349","5.55999994277954","5.21000003814697","5.07999992370605","5.21999979019165","5.65999984741211","6.07000017166138","6.05999994277954","5.71999979019165",
"Austria","AUT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","2.79999995231628","2.40000009536743","1.5","1.29999995231628","1.20000004768372","1.29999995231628","2","2","1.79999995231628","2.09999990463257","2","1.89999997615814","2.0699999332428","3.34999990463257","4.5","4.5","4.80000019073486","3.11999988555908","3.78999996185303","5.30000019073486","3.14000010490417","3.25","5.8600001335144","5.90000009536743","4.25","3.52999997138977","4.34999990463257","5.28000020980835","5.15000009536743","5.51999998092651","4.69999980926514","4.69000005722046","4.01000022888184","4.84999990463257","4.78000020980835","5.82999992370605","5.63000011444092","5.23999977111816","4.8600001335144","4.13000011444092","5.30000019073486","4.82000017166138","4.55999994277954","4.86999988555908","5.32999992370605","5.61999988555908","5.71999979019165","",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.109999999403954","0.170000001788139","0.519999980926514","0.649999976158142","0.800000011920929","0.899999976158142","1.02999997138977","1.12999999523163","16.25","11.8000001907349","10.8999996185303","10","9.25","8","7.30000019073486","6.61999988555908","6.53999996185303","6.05000019073486","5.73999977111816","5.63000011444092","5.42000007629395","5.19000005722046","4.96999979019165","4.90999984741211","4.96000003814697","",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","8.5","","21.2000007629395","","20.7000007629395","","","","","","","","","12.1700000762939","","11.0200004577637","11.6999998092651","7.76999998092651","12.289999961853","14.8500003814697","12.8400001525879","13.8299999237061","10.8999996185303","11.5","9.78999996185303","7.65000009536743","7.80000019073486","","6.88000011444092","9.10000038146973","10.8400001525879","10.1999998092651","10.1999998092651","7.59999990463257","7.88000011444092","8.18000030517578","14.25","","14.5200004577637","14.0200004577637","16.1800003051758","","","",
"Bahrain","BHR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","3.09999990463257","","","","","","","","","","6.34999990463257","","","","","","","","","","5.5","","","","","","5.59999990463257","3.70000004768372","4","1.12999999523163","1.23000001907349","1.20000004768372","","","","",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","2.03999996185303","2.01999998092651","0.959999978542328","","","0.920000016689301","","2.20000004768372","","","","","2.50999999046326","","","","3.26999998092651","","","4.32000017166138","","4.25","","","","","4.53000020980835","","","4.26000022888184","","","",
"Barbados","BRB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","15.6000003814697","15.6999998092651","13.6999998092651","11.3000001907349","11.3999996185303","10.8599996566772","13.75","9.0600004196167","17.1000003814697","18.7099990844727","17.8799991607666","17.9400005340576","17.5699996948242","14.0600004196167","8.15999984741211","7.51999998092651","22.9400005340576","24.5200004577637","22.9799995422363","19.6599998474121","14.710000038147","14.6099996566772","12.1300001144409","10.3199996948242","9.35000038146973","9.85000038146973","10.3199996948242","11","9.75","9.0600004196167","8.72000026702881","7.44999980926514","8.06999969482422","10.0200004577637","10.6899995803833","11.1400003433228","11.5799999237061","11.5500001907349","12.1700000762939","11.3500003814697","",
"Belarus","BLR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0500000007450581","0.5","1.39999997615814","2.09999990463257","2.90000009536743","4","2.79999995231628","2.29999995231628","2.09999990463257","2.09999990463257","2.29999995231628","3","3.09999990463257","1.89999997615814","1.5","1.20000004768372","1","0.800000011920929","0.899999976158142","1.15400004386902","0.675999999046326","0.619000017642975","0.513999998569489","0.492000013589859","1","",
"Belgium","BEL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","2.09999990463257","2.70000004768372","2.79999995231628","3","5.09999990463257","6.5","5.67000007629395","7.90000009536743","6.96000003814697","9.10000038146973","11.3500003814697","13","11.6599998474121","11.8800001144409","11.3199996948242","11.2799997329712","11.2600002288818","10.1300001144409","8.27999973297119","7.25","6.98999977111816","6.69999980926514","8.07999992370605","9.64999961853027","9.34000015258789","9.47999954223633","8.96000003814697","9.31999969482422","8.64999961853027","6.59000015258789","6.17999982833862","6.90999984741211","7.67999982833862","7.3600001335144","8.4399995803833","8.25","7.46000003814697","6.98000001907349","7.90999984741211","8.28999996185303","7.1399998664856","7.53999996185303","8.43000030517578","8.52000045776367","8.47999954223633","",
"Belize","BLZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79999995231628","","9.77000045776367","11.1000003814697","12.4799995422363","13.8199996948242","12.6800003051758","14.3100004196167","12.8400001525879","","9.06999969482422","10.039999961853","","","10.9799995422363","9.39999961853027","8.5","8.1899995803833","","22.8700008392334","","14.2700004577637","11.6800003051758","","9.97000026702881","",
